TempIndex,ItemNumber,StationeryType,StationeryName,ReorderLevel,ReorderQty,UOM,Price,SupplierName,Dates,RequisitionQuantity,TotalPrice
39,H032 ,Puncher ,Hole Puncher 3 holes ,50,20,Each ,12.6,CHEAP,"Monday, January 2, 2017",14,1814.4
19,E032 ,Exercise ,Exercise Book A4 Hardcover 100 pg ,100,50,Each ,0.21,WOW,"Monday, January 2, 2017",19,38.85
90,T101,Tray ,Tray Brown ,20,10,Set ,6,APLHA,"Monday, January 2, 2017",8,450
78,S022 ,Stapler ,Stapler No. 28 ,50,20,Box ,3.6,APLHA,"Monday, January 2, 2017",11,403.2
55,P035 ,Pen ,Pen Felt Tip Red ,100,50,Dozen ,2.5,LOTCASH,"Monday, January 2, 2017",42,1037.5
27,F023 ,File ,File-Brown wo Logo ,200,150,Each ,2.1,APLHA,"Monday, January 2, 2017",144,3024
68,R001 ,Ruler ,Ruler 6inch ,50,20,Dozen ,2.5,APLHA,"Monday, January 2, 2017",5,120
21,E034 ,Exercise ,Exercise Book A4 Hardcover 200 pg ,100,50,Each ,0.27,BANES,"Monday, January 2, 2017",30,81
53,P033 ,Pen ,Pen Felt Tip Black ,100,50,Dozen ,2.5,RANDOM,"Monday, January 2, 2017",32,800
18,E031 ,Exercise ,Exercise Book 120 pg ,100,50,Each ,0.26,BANES,"Monday, January 2, 2017",49,126.1
15,E020 ,Eraser ,Eraser hard ,50,20,Each ,0.4,LOTCASH,"Monday, January 2, 2017",19,76
80,T001 ,Tacks ,Thumb Tacks Large ,10,10,Box ,2,BANES,"Monday, January 2, 2017",5,106
40,H033 ,Puncher ,Hole Puncher Adjustable ,50,20,Each ,15.3,CHEAP,"Monday, January 2, 2017",13,1958.4
89,T100 ,Tray ,Trays InOut ,20,10,Set ,6,CHEAP,"Monday, January 2, 2017",6,342
48,P020 ,Paper ,Paper Photostat A3 ,500,500,Box ,13,APLHA,"Monday, January 2, 2017",200,26000
6,C006 ,Clip ,Clips Paper Small ,50,30,Box ,1.2,BANES,"Monday, January 2, 2017",11,136.8
71,S041 ,Tape ,Scotch Tape Dispenser ,50,20,Each ,2.3,LOTCASH,"Monday, January 2, 2017",13,289.8
25,F021 ,File ,File-Blue Plain ,200,100,Each ,2.3,ISS,"Monday, January 2, 2017",21,483
5,C005 ,Clip ,Clips Paper Medium ,50,30,Box ,1.5,APLHA,"Monday, January 2, 2017",23,351
9,E003 ,Envelope ,Envelope Brown 5inchx7inch ,600,400,Each ,1.6,LOTCASH,"Monday, January 2, 2017",48,768
